batch_id,product_type,steel_grade,technology_route,country_of_origin,batch_weight_tonnes,thickness_mm,recycled_content_pct,renewable_energy_pct,energy_consumption_kwh_per_tonne,scrap_quality_score,carbon_pct,manganese_pct,chromium_pct,yield_strength_mpa,tensile_strength_mpa,carbon_footprint_kgco2e_per_tonne
BATCH-0001,Electrical Steel,S235JR,EAF,Germany,26.98,11.8,59.02,82.17,492.4,55.94,0.199,1.011,0.052,252.4,423.8,120.0
BATCH-0002,Wire Rod,304,EAF,Belgium,16.48,17.1,69.54,44.21,577.2,83.88,0.231,1.36,0.048,253.1,355.7,120.0
BATCH-0003,Stainless Steel,S355JR,EAF,Italy,21.73,10.58,68.06,33.2,610.3,87.04,0.206,0.859,19.317,327.8,453.0,315.5
BATCH-0004,Galvanised Coil,304,BF-BOF,Belgium,11.45,10.07,33.34,23.38,1796.1,64.59,0.21,0.827,0.449,236.4,381.3,1352.1
BATCH-0005,Hot Rolled Coil,DX51D,EAF,Italy,33.13,22.32,81.0,32.47,495.6,88.04,0.128,1.122,0.472,247.2,380.1,120.0
BATCH-0006,Stainless Steel,S355JR,EAF,Belgium,13.31,20.22,83.41,28.27,760.5,84.13,0.11,0.801,17.371,287.4,428.7,361.8
BATCH-0007,Electrical Steel,DX51D,EAF,France,14.84,24.08,67.93,78.68,749.4,57.34,0.099,1.063,0.285,197.6,418.6,120.0
BATCH-0008,Electrical Steel,S235JR,BF-BOF,Italy,19.45,3.33,20.81,80.82,1929.5,66.42,0.179,1.381,0.195,282.7,481.2,1408.4
BATCH-0009,Hot Rolled Coil,304,EAF,France,11.74,11.32,88.84,40.07,847.5,98.0,0.146,1.472,0.146,319.6,423.0,120.0
BATCH-0010,Wire Rod,S355JR,EAF,Italy,33.8,20.52,95.05,27.18,669.1,55.34,0.144,0.778,0.316,181.9,324.6,120.0
BATCH-0011,Wire Rod,S355JR,EAF,France,25.68,18.96,90.56,16.08,641.3,94.57,0.187,0.424,0.367,258.6,447.0,120.0
BATCH-0012,Stainless Steel,S235JR,EAF,Italy,25.83,11.35,61.54,65.87,697.5,90.14,0.065,0.813,16.248,276.8,420.5,258.4
BATCH-0013,Galvanised Coil,S355JR,BF-BOF,Belgium,13.43,10.49,24.76,79.72,1730.8,86.28,0.094,1.027,0.25,221.7,342.7,1128.9
BATCH-0014,Electrical Steel,S355JR,BF-BOF,Germany,17.19,16.49,17.67,39.94,1717.1,78.93,0.258,1.954,0.294,310.5,496.0,1383.5
BATCH-0015,Wire Rod,S355JR,EAF,Spain,13.21,18.36,61.04,79.37,563.2,65.92,0.275,0.899,0.382,274.4,431.8,120.0
BATCH-0016,Hot Rolled Coil,M270-35A,BF-BOF,Belgium,10.14,19.89,24.62,26.04,2102.0,62.03,0.289,1.76,0.364,302.7,421.1,1496.0
BATCH-0017,Galvanised Coil,S355JR,EAF,Germany,19.59,4.47,80.25,56.74,678.6,57.46,0.16,1.411,0.27,244.8,376.1,120.0
BATCH-0018,Hot Rolled Coil,S235JR,BF-BOF,Spain,20.39,11.43,17.89,11.89,2217.3,79.15,0.175,1.131,0.347,247.1,389.0,1660.7
BATCH-0019,Electrical Steel,DX51D,EAF,Italy,26.23,15.93,79.06,52.87,765.2,92.86,0.258,1.095,0.706,267.5,397.3,232.8
BATCH-0020,Galvanised Coil,S355JR,EAF,Spain,19.95,19.49,82.43,59.29,613.4,61.56,0.07,1.563,0.064,268.3,389.0,120.0
BATCH-0021,Electrical Steel,DX51D,BF-BOF,France,34.71,2.09,28.75,59.77,1634.4,65.31,0.165,0.952,0.522,273.3,445.0,1128.8
BATCH-0022,Wire Rod,304,BF-BOF,France,21.16,16.62,20.74,71.2,1940.5,61.41,0.21,1.82,0.379,252.6,383.3,1300.4
BATCH-0023,Stainless Steel,S235JR,BF-BOF,France,20.12,3.19,32.29,13.05,1815.5,81.79,0.161,1.36,18.905,333.1,431.0,1712.4
BATCH-0024,Stainless Steel,DX51D,BF-BOF,Germany,15.19,9.93,26.18,28.68,1844.3,87.79,0.257,1.046,15.82,312.7,489.0,1604.5
BATCH-0025,Electrical Steel,S235JR,BF-BOF,Italy,24.59,6.11,40.1,63.91,1797.3,91.16,0.187,1.208,0.07,259.2,414.7,1143.9
