event_id,session_id,user_role,product_name,event_timestamp,event_type,page_section,element_clicked,status,error_type
E00001,S0001,Manufacturer,Steel Coil A,2026-07-02 05:56:40,page_view,DPP Landing Page,Open DPP Page,success,none
E00002,S0001,Manufacturer,Steel Coil A,2026-07-02 05:55:20,tab_click,Technical Documents,Technical Documents,success,none
E00003,S0001,Manufacturer,Steel Coil A,2026-07-02 05:56:14,document_click,Technical Documents,Interoperability Test Case Documentation,success,none
E00004,S0001,Manufacturer,Steel Coil A,2026-07-02 05:52:45,document_click,Technical Documents,Interoperability Test Case Documentation,success,none
E00005,S0002,Manufacturer,The White,2026-07-01 08:42:53,page_view,DPP Landing Page,Open DPP Page,success,none
E00006,S0002,Manufacturer,The White,2026-07-01 08:41:45,tab_click,Packaging,Packaging,success,none
E00007,S0002,Manufacturer,The White,2026-07-01 08:44:23,tab_click,Technical Documents,Technical Documents,success,none
E00008,S0002,Manufacturer,The White,2026-07-01 08:44:19,document_click,Technical Documents,Safety Data Sheet,success,none
E00009,S0002,Manufacturer,The White,2026-07-01 08:41:20,export,Export Product Passport,Export as PDF,success,none
E00010,S0002,Manufacturer,The White,2026-07-01 08:44:53,document_click,Technical Documents,Technical Information,success,none
E00011,S0002,Manufacturer,The White,2026-07-01 08:43:44,document_click,Technical Documents,Safety Data Sheet,success,none
E00012,S0003,Customer,Hot Rolled Coil,2026-07-07 14:47:02,document_click,Technical Documents,Safety Data Sheet,success,none
E00013,S0003,Customer,Hot Rolled Coil,2026-07-07 14:44:40,tab_click,Paint Material,Paint Material,success,none
E00014,S0003,Customer,Hot Rolled Coil,2026-07-07 14:44:53,export,Export Product Passport,Export as JSON,success,none
E00015,S0003,Customer,Hot Rolled Coil,2026-07-07 14:45:42,tab_click,Paint Material,Paint Material,success,none
E00016,S0003,Customer,Hot Rolled Coil,2026-07-07 14:47:00,export,Export Product Passport,Export as PDF,success,none
E00017,S0003,Customer,Hot Rolled Coil,2026-07-07 14:45:56,tab_click,Anomalies,Anomalies,success,none
E00018,S0004,Auditor,Wire Rod,2026-07-02 22:30:56,tab_click,Paint Material,Paint Material,success,none
E00019,S0004,Auditor,Wire Rod,2026-07-02 22:30:39,tab_click,Packaging,Packaging,success,none
E00020,S0004,Auditor,Wire Rod,2026-07-02 22:31:24,export,Export Product Passport,Export as PDF,success,none
E00021,S0004,Auditor,Wire Rod,2026-07-02 22:31:28,error,Verify Product Passport,System Error,failed,missing_data
E00022,S0004,Auditor,Wire Rod,2026-07-02 22:32:49,tab_click,General Information,General Information,success,none
E00023,S0004,Auditor,Wire Rod,2026-07-02 22:32:34,tab_click,General Information,General Information,success,none
E00024,S0005,Manufacturer,The White,2026-07-05 02:03:53,export,Export Product Passport,Export as PDF,success,none
E00025,S0005,Manufacturer,The White,2026-07-05 02:02:30,error,Machine Energy,System Error,failed,missing_data
E00026,S0005,Manufacturer,The White,2026-07-05 02:04:30,tab_click,General Information,General Information,success,none
E00027,S0005,Manufacturer,The White,2026-07-05 02:03:42,tab_click,Technical Documents,Technical Documents,success,none
E00028,S0005,Manufacturer,The White,2026-07-05 02:05:45,page_view,DPP Landing Page,Open DPP Page,success,none
E00029,S0006,Customer,Steel Coil A,2026-07-04 05:07:28,export,Export Product Passport,Export as CSV,failed,failed_export
E00030,S0006,Customer,Steel Coil A,2026-07-04 05:04:24,tab_click,Machine Energy,Machine Energy,success,none
E00031,S0006,Customer,Steel Coil A,2026-07-04 05:03:13,error,Export Product Passport,System Error,failed,broken_link
E00032,S0006,Customer,Steel Coil A,2026-07-04 05:05:23,verification,Verify Product Passport,Verify with Spherity,failed,failed_verification
E00033,S0006,Customer,Steel Coil A,2026-07-04 05:07:45,document_click,Technical Documents,Energy Report,success,none
E00034,S0006,Customer,Steel Coil A,2026-07-04 05:06:47,error,Export Product Passport,System Error,failed,broken_link
E00035,S0006,Customer,Steel Coil A,2026-07-04 05:07:13,tab_click,General Information,General Information,success,none
E00036,S0006,Customer,Steel Coil A,2026-07-04 05:03:52,tab_click,Energy Overview,Energy Overview,success,none
E00037,S0006,Customer,Steel Coil A,2026-07-04 05:08:26,tab_click,General Information,General Information,success,none
E00038,S0006,Customer,Steel Coil A,2026-07-04 05:09:12,tab_click,Paint Material,Paint Material,success,none
E00039,S0006,Customer,Steel Coil A,2026-07-04 05:08:40,export,Export Product Passport,Export as PDF,success,none
E00040,S0006,Customer,Steel Coil A,2026-07-04 05:06:22,verification,Verify Product Passport,Verify with Spherity,success,none
E00041,S0007,Recycler,The White,2026-07-05 14:16:15,tab_click,General Information,General Information,success,none
E00042,S0007,Recycler,The White,2026-07-05 14:18:12,error,Technical Documents,System Error,failed,api_timeout
E00043,S0007,Recycler,The White,2026-07-05 14:17:43,error,Export Product Passport,System Error,failed,api_timeout
E00044,S0007,Recycler,The White,2026-07-05 14:18:31,document_click,Technical Documents,Sustainability Data Sheet,success,none
E00045,S0007,Recycler,The White,2026-07-05 14:18:04,tab_click,Technical Documents,Technical Documents,success,none
E00046,S0007,Recycler,The White,2026-07-05 14:18:06,document_click,Technical Documents,Safety Data Sheet,success,none
E00047,S0008,Customer,The White,2026-07-05 09:21:02,tab_click,General Information,General Information,success,none
E00048,S0008,Customer,The White,2026-07-05 09:20:45,tab_click,Anomalies,Anomalies,success,none
E00049,S0008,Customer,The White,2026-07-05 09:21:41,tab_click,Technical Documents,Technical Documents,success,none
E00050,S0008,Customer,The White,2026-07-05 09:22:06,export,Export Product Passport,Export as JSON,success,none
E00051,S0008,Customer,The White,2026-07-05 09:23:21,tab_click,Energy Overview,Energy Overview,success,none
E00052,S0009,Manufacturer,Wire Rod,2026-07-04 12:18:11,document_click,Technical Documents,Safety Data Sheet,success,none
E00053,S0009,Manufacturer,Wire Rod,2026-07-04 12:22:18,page_view,DPP Landing Page,Open DPP Page,success,none
E00054,S0009,Manufacturer,Wire Rod,2026-07-04 12:22:10,login,Authentication,Log in,success,none
E00055,S0009,Manufacturer,Wire Rod,2026-07-04 12:22:04,tab_click,Paint Material,Paint Material,success,none
E00056,S0009,Manufacturer,Wire Rod,2026-07-04 12:21:56,tab_click,Technical Documents,Technical Documents,success,none
E00057,S0009,Manufacturer,Wire Rod,2026-07-04 12:22:28,tab_click,Machine Energy,Machine Energy,success,none
E00058,S0009,Manufacturer,Wire Rod,2026-07-04 12:21:18,verification,Verify Product Passport,Verify with Spherity,success,none
E00059,S0010,Internal User,Steel Coil A,2026-07-06 12:07:53,document_click,Technical Documents,Safety Data Sheet,success,none
